Profile data exported by Multi Gauge

Image File : 20200812-221112-[Cy2]tif

	Lane Number
(pixel)	1	2	3	4	5	6	7	8	9	10	11
57.0000	25668.0000	22323.0000	139553.0000	113578.0000	63119.0000	41756.0000	27005.0000	24172.0000	23045.0000	22977.0000	22355.0000
58.0000	24567.0000	21465.0000	139491.0000	121537.0000	67036.0000	40405.0000	27383.0000	24862.0000	23502.0000	23609.0000	22917.0000
59.0000	23273.0000	20743.0000	127323.0000	116481.0000	65843.0000	37435.0000	26980.0000	25362.0000	24488.0000	24540.0000	23717.0000
60.0000	22363.0000	20597.0000	111767.0000	100273.0000	58916.0000	35703.0000	25856.0000	25057.0000	25213.0000	25057.0000	24320.0000
61.0000	22281.0000	20768.0000	93463.0000	87966.0000	55812.0000	35476.0000	25070.0000	24068.0000	25094.0000	25084.0000	24277.0000
62.0000	22877.0000	21483.0000	84622.0000	80692.0000	52752.0000	36872.0000	24661.0000	23053.0000	24411.0000	24316.0000	23627.0000
63.0000	24345.0000	22177.0000	88207.0000	81119.0000	53218.0000	41490.0000	24929.0000	22626.0000	23191.0000	23211.0000	22507.0000
64.0000	25086.0000	22464.0000	97740.0000	93670.0000	60766.0000	45112.0000	25657.0000	22806.0000	22656.0000	22540.0000	22071.0000
65.0000	25106.0000	22027.0000	115785.0000	112891.0000	68429.0000	48543.0000	26971.0000	23594.0000	22492.0000	22510.0000	22123.0000
66.0000	24310.0000	21257.0000	122954.0000	131285.0000	77704.0000	48768.0000	27925.0000	24335.0000	22967.0000	22996.0000	22592.0000
67.0000	23182.0000	20341.0000	116549.0000	133650.0000	81186.0000	45688.0000	28153.0000	25178.0000	23938.0000	23880.0000	23451.0000
68.0000	22183.0000	19982.0000	101149.0000	116673.0000	74818.0000	42238.0000	27408.0000	25328.0000	24838.0000	24730.0000	24095.0000
69.0000	21919.0000	19938.0000	82405.0000	98859.0000	67931.0000	39394.0000	26332.0000	24705.0000	25096.0000	25067.0000	24254.0000
70.0000	22080.0000	20359.0000	73193.0000	83143.0000	60094.0000	39686.0000	25277.0000	23491.0000	24793.0000	24638.0000	23907.0000
71.0000	22997.0000	21012.0000	68947.0000	80714.0000	57394.0000	43483.0000	25073.0000	22602.0000	23648.0000	23624.0000	22844.0000
72.0000	24157.0000	21725.0000	71413.0000	84841.0000	61695.0000	48631.0000	25752.0000	22443.0000	22655.0000	22476.0000	22107.0000
73.0000	25222.0000	21997.0000	84781.0000	98795.0000	68421.0000	54652.0000	26958.0000	22949.0000	22189.0000	22003.0000	21829.0000
74.0000	25291.0000	21685.0000	97006.0000	121792.0000	81143.0000	58395.0000	28345.0000	23724.0000	22390.0000	22210.0000	22058.0000
75.0000	24578.0000	20712.0000	105187.0000	137213.0000	90753.0000	59231.0000	29413.0000	24788.0000	23019.0000	23101.0000	22654.0000
76.0000	23320.0000	19934.0000	100992.0000	141688.0000	96337.0000	56452.0000	29771.0000	25486.0000	24036.0000	23877.0000	23453.0000
77.0000	22182.0000	19405.0000	85603.0000	129631.0000	92974.0000	49221.0000	29256.0000	25632.0000	24838.0000	24626.0000	23953.0000
78.0000	21590.0000	19454.0000	70344.0000	102184.0000	76876.0000	45196.0000	27706.0000	25037.0000	25099.0000	24781.0000	24044.0000
79.0000	21677.0000	19804.0000	58999.0000	85205.0000	68795.0000	43909.0000	26490.0000	23856.0000	24641.0000	24384.0000	23601.0000
80.0000	22276.0000	20510.0000	55531.0000	79987.0000	62733.0000	46920.0000	25911.0000	22739.0000	23719.0000	23371.0000	22819.0000
